Nom,Description,Ethnie,Pays,Materiaux,Hauteur_cm,Largeur_cm,Poids,Datation,img,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,img_11,img_12
"
                        Siège perlé de dignitaire Bamileke ","
Dans l' art africain , les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce siège monoxyle, nommé   rü mfo   chez les Bamum, présente des motifs tels que le léopard, et deux dignitaires munis d'insignes d'apparat. Le léopard forme un motif récurrent car il symbolise les qualités royales. De plus une fois tué, les peaux et les dents du félin revenaient au roi. Ces attributs de prestige jouaient un rôle lors des rituels.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles importées et de cauris, ancienne monnaie associée à la richesse.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ",Bamileke,cameroun,"Bois, perles, cauris",44,41 cm,"14,30 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/17279/a5ed08a9-39da-4de0-b31e-b570297c6682/Tabouret-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/17279/a5ed08a9-39da-4de0-b31e-b570297c6682/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/7f53d2b3-3cba-4fac-b3ff-12fa66377572/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/e8d60cf5-c5b6-41e0-af1b-fd0b76ab1e8d/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/4f450037-3878-46c2-a31b-33d6e6c44e4a/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/622c6f77-dab2-44d1-b2c2-5868bb16866b/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/fd0cf729-a7d4-4a5d-a48e-7d8b84f0210b/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/18ccd5bd-7a7a-41fd-846d-4209729200f8/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/4291d26f-a207-4aec-9bf1-18155afa327d/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/4341cdf3-b4cb-4b8e-b2a2-660b4af701f1/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/006611a8-5129-48aa-909f-176c9b9221e9/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/a7237a74-6bf3-45f3-9e33-f479fe137f62/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17279/c057a7a4-69ad-4453-aec8-45786e29f4ec/Tabouret-Bamileke-Art-Africain_th.jpg', None)"
"
                        Siège perlé de dignitaire Bamileke ","
Dans l' art africain , les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce siège monoxyle, nommé   rü mfo   chez les  Bamum , présente un motif caryatidique sous la forme d'une figure d'oiseau.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles importées et de cauris, ancienne monnaie associée à la richesse.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/21858/48528d94-ae1b-404d-a00f-2df88aabb405/Tabouret-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/21858/48528d94-ae1b-404d-a00f-2df88aabb405/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/469f0490-58ff-4492-b67d-eb96e0057a51/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/eae5901c-acab-4911-aa53-b5785c0400f4/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/e3b4be04-897e-42c3-9df1-e5708d6ceb89/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/f554a6b1-b75d-4df7-bb99-af80fe2e962b/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/64d1a7fa-df2d-471b-b9f8-570d8f5af674/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/c9083203-cccc-4afd-b773-ee0a8c19bbc1/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/1695b168-8268-4ea0-a1ed-8d0522386de9/Tabouret-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21858/f6d8ada1-676e-41ab-97a6-6866b97a42ef/Tabouret-Bamileke-Art-Africain_th.jpg', None)", , , 
"
                        Masque Batcham Msop / Tsemabu ","
Ex-collection art africain suisse.Le premier masque africain de ce type ayant été découvert à  Batcham  dans les  Grasslands  camerounais, ce masque africain, sacré, fut erronément appelé  Batcham  au sein de l'art tribal. Plusieurs chefferies disposaient de ces masques importants qui composaient le trésor royal. Un seul exemplaire était cependant utilisé. Il était lié aux activités de la société secrète appelée selon les régions msop  ou  tsemabu, et à laquelle appartenait également le roi également appelé fon. Le  Fon  était garant de la fertilité des sols et de la protection de ses sujet ; il n'était pas considéré comme mortel.
Cet exemplaire est une réplique miniature du grand masque royal, au nez horizontal présentant de larges  narines dilatées et dont le haut front plane évoque le dossier d'une assise. 
La base circulaire est gravée de motifs en relief évoquant des cauris, surmontée d'une large bouche dévoilant une rangée de dents régulières.
Patine brun clair mate. Abrasions.
                         
                    ",Bamileke,cameroun,Bois,76,33 cm,"4,85 Kg",Mi-XX°, , , , , , , , , , , , , 
"
                        Coiffe en plumes Bamileke ""Juju hat"" ","
Les somptueuses coiffes Bamileke dans l' art africain  . Parure africaine de prestige, portée par les notables, elle offre une garniture en plumes de couleur vive.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet, aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Bois, plumes, textile, raphia",72,40 cm,"1,80 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/18474/beb51982-5303-4215-9d6b-17884709860c/Chapeau-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/18474/beb51982-5303-4215-9d6b-17884709860c/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/18474/bb9ac461-544a-4b72-9c00-c9dd2f931f40/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/18474/72bdf38b-64b7-4d02-b51f-120541b8a019/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/18474/6456ae2b-bc61-49bc-945b-e982f07d6903/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/18474/952652ff-8bba-47fa-a2d7-f1eae334fe18/Chapeau-Bamileke-Art-Africain_th.jpg', None)", , , , , , , 
"
                        Coiffe Bamileke ""Juju hat"" ","
Les somptueuses coiffes Bamileke dans l' art africain  . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes jaune vif.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Bois, plumes, raphia, textile",42,24 cm,42 cm,"0,55 Kg",https://www.galerie-art-africain.com/photos-art-africain/20031/4c8b2e28-0655-467f-b524-ddeab8354137/Chapeau-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/20031/4c8b2e28-0655-467f-b524-ddeab8354137/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20031/bb9c5c4e-1c23-45fa-a353-46b4133950b2/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20031/4815b91e-f5c7-4cd9-915e-2c7df6f68bf8/Chapeau-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , 
"
                        Coiffe à plume Bamileke ""Juju hat"" ","
Ex-collection  art africain  Camerounaise
Les Somptueuses coiffes  Bamileke  dans l'art africain traditionnel. Eclatante parure africaine de prestige, portée par les notables, couleur vert émeraude.

C'est à l'occasion de la danse de l'éléphant,  tso  ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers , la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social.
                         
                    ",Bamileke,cameroun,"Bois, plumes, textile, raphia",72,40 cm,"1,80 Kg",Fin XX°,https://www.galerie-art-africain.com/photos-art-africain/17398/0e9e05ab-b9a8-4f8f-afa6-5b74fd688f95/Chapeau-Bamlike-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/17398/0e9e05ab-b9a8-4f8f-afa6-5b74fd688f95/Chapeau-Bamlike-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17398/1323a6cd-aa27-4f51-ab09-8988d8243d8b/Chapeau-Bamlike-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17398/1f663b1a-8022-4c63-83dd-3602e617fc74/Chapeau-Bamlike-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17398/4807c827-0a5a-4967-9539-64d0ff62c1bd/Chapeau-Bamlike-Art-Africain_th.jpg', None)", , , , , , , , 
"
                        Coiffe de prestige Bamileke ""Juju Hat"" ","
Ex-collection  art africain  Camerounaise
Les somptueuses coiffes Bamileke dans l'art africain . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes de différents tons de violet.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Bois, plumes, textile, raphia",78,78 cm,"1,30 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/20058/923554c3-a97b-4ab6-bd5e-c9f276cfddbc/Chapeau-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/20058/923554c3-a97b-4ab6-bd5e-c9f276cfddbc/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20058/44abc407-d47b-41bb-837e-23e62235a6a3/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20058/c4655b9e-ab35-42b9-b53e-2573f4e48715/Chapeau-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , 
"
                        Coiffe en plumes Bamileke ","
Les somptueuses coiffes Bamileke dans l'art africain . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes de couleur vive.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet, aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Bois, textile, plumes, raphia",72,40 cm,"1,80 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/18473/9db6d35a-b924-4d09-b927-6f58059084ee/Coiffe-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/18473/9db6d35a-b924-4d09-b927-6f58059084ee/Coiffe-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , , , 
"
                        Statue reliquaire Bamileke N' Ketuok ","
Ex-collection  art africain  Camerounaise.

Cette figure sculptée ("" N'Kétuok "") incarnant un ancêtre masculin disposant d'une large tête ovoïde et d'une morphologie épaisse et trapue, a été sculptée dans le bois puis couverte d'un enduit argileux désormais craquelé. 

Une cavité à usage de reliquaire a été creusée creusée au dos.

Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ",Bamileke,cameroun,Bois,40,13 cm,"1,40 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/20569/49da89a7-9809-42cc-ba51-6e3261b77752/Statue-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/20569/49da89a7-9809-42cc-ba51-6e3261b77752/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/8260a7fa-bb59-4a09-add2-de53d65e7955/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/d8dfd425-0ad2-47d5-bc97-e78e33590b4f/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/6308e2b7-1d70-4f04-b40d-692f9dd44915/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/50fe7e35-66ae-4e31-918b-388980ff3789/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/c9e3a75a-6443-45a2-a7f8-a28c1b018630/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/d54cb719-8869-489e-a55a-9e18ed14a549/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/34421ff9-77e7-4150-8230-48196d2c8fc8/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/eda7429d-6199-4c5e-bc97-59390c2233b8/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/32a99434-ee62-4b01-b5bf-2940792d4e0e/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/1f49595b-10f4-4b12-a91b-85182a4db8a6/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20569/2e929155-ae81-4214-9404-bf5def41b40c/Statue-Bamileke-Art-Africain_th.jpg', None)"
"
                        Tabouret d'apparat Bamileke / Bamum ""Kuo koko"" ","
Dans l'art africain, les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce siège monoxyle, nommé   rü mfo   chez les Bamum, est constitué d'une base et d'une figure zoomorphe caryatidique soutenant le plateau de l'assise. Le léopard forme un motif récurrent car il symbolise les qualités royales. De plus une fois tué, les peaux et les dents du félin revenaient au roi. Ces attributs de prestige jouaient un rôle lors des rituels.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles importées et de cauris, ancienne monnaie associée à la richesse.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ",Bamileke,cameroun,"Bois, perles, cauris",45,39 cm,"11,30 Kg",2ème moitié XX°, , , , , , , , , , , , , 
"
                        Masque éléphant Bamileke Mbap mteng ","
Collection art africain Camerounaise.Ces longs masques en tissu brodé de perles à la polychromie très riche étaient portés par des membres de haut rang dans la société bamileke. 
Exhibés à l'occasion des funérailles de certains guerriers, le porteur en agitait les oreilles et simulait la charge de l'éléphant, animal que ce masque symbolise.
Dans l'art africain, le règne animal dispose d'une place de choix de par son omniprésente proximité physique. Certains animaux ont donc largement intégré les cosmogonies de nombreuses ethnies. L'éléphant en est un exemple évident et on accorde aux oeuvres qui les symbolisent des vertus royales.
La société bamileke disposait de plusieurs associations initiatiques dont les mwola et les komiyo, ce sont ces sociétés dont sont issus les hommes autorisés à porter ces masques.
C'est à l'occasion de la danse de l'éléphant,  tso ,que les membres de la société  Kuosi ,  Kwosi , arboraient d' impressionnantes coiffes à plumes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires , mbap mteng ,d'une étoffe de tissu,  ndop, ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles.

Les Bamileke, sous-groupe d'une peuplade plus large constituée également des Bamoun et des Tikar, sont célèbres pour leurs pièces d'art africain couvertes de perles, signe de prospérité et de richesse, conférant à l'objet royal la brillance qui le distingue des objets communs.
                         
                    ",Bamileke,cameroun,"Perles, feutrine, textile",126,26 cm,"1,34 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/17909/79c64cfc-4187-4058-b925-5f342de40d38/Masque-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/17909/79c64cfc-4187-4058-b925-5f342de40d38/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/ca20a6d5-a462-48b2-80fc-74c5207b894b/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/fe259388-5611-4482-a729-f928219249fb/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/8262ff47-2530-4fb3-8058-898ab659e462/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/a55949cc-8c7a-4e40-ab23-fa6402fc036d/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/7a20c194-9e66-45db-b454-36a9af55be2d/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/d09b57c1-3782-4521-976e-31d4975b0e69/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/b284eb23-cc31-4c9f-8667-3494ada9ca0e/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/79e33042-b791-498e-9353-7f77654643ff/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/4d90598b-7ff8-4d95-87a5-09b24926cdd0/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/1275e4e3-2afd-4375-bf74-c6673446e19a/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17909/df384a31-d69c-4086-9f4b-b21ba4fa86a3/Masque-Bamileke-Art-Africain_th.jpg', None)"
"
                        Statuette perlée Bamileke ","
Ex-collection art tribal Camerounaise.Couleurs et chefferies dans l'art africain.



 Cette statuette masculine d'ancêtre, trapue , a d'abord été sculptée dans le bois pour ensuite être recouverte d'une toile de rabane incrustée de perles multicolores importées. Elle arbore un couvre-chef et est munie d'un objet. Un des mains est placée sur son bas-ventre   La physionomie affiche une expressivité distinctive de l'art tribal africain des régions du Grassland.
Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/14652/1e36b1e4-2c66-4021-8fbf-d9eefefb0054/Statue-Bamoun-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/14652/1e36b1e4-2c66-4021-8fbf-d9eefefb0054/Statue-Bamoun-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14652/6265c364-79fd-4713-8599-0de47d087ac4/Statue-Bamoun-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14652/fcfa978a-7460-429a-b582-9eaf7828832f/Statue-Bamoun-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14652/a43a5680-044b-41cd-8ec7-1a6c26fa5b2d/Statue-Bamoun-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14652/7e94792a-03af-4e69-adb2-c9d9b01ab762/Statue-Bamoun-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/14652/c15b2c58-44fd-4a75-9414-9a8bf4b99825/Statue-Bamoun-Art-Africain_th.jpg', None)", , , , , , 
